Date,Username,Handle,Tweet body,Number of likes,Number of retweets
2023-06-09,Musée d’art contemporain de Lyon,@macLyon,"#aiMW Et si on laissait carte blanche à Chat GPT pour concevoir notre prochaine exposition, ça donnerait quoi ? Attention, ce thread Twitter pour la 
@MuseumWeek
 est purement imaginaire et ne correspond pas à une exposition réelle. Voilà ce qu’il nous a proposé :",38,2
2023-06-15,Babar le Rhinocéros,@Babar_le_Rhino,"Hier je me suis confronté à ChatGPT sur le sujet du BAC de philo

Je viens de finir de corriger les copies, j'ai eu 22/20 et ChatGPT 3/20

(Je me suis mis 2 points bonus car je me trouvais sympa)",21,5
2023-06-05,Sébastien Fucini,@sebastienfucini,"Rapport de recherche de M1 totalement rédigé avec ChatGPT... Les étudiants pensent que ça ne se voit pas ? Verbiage lunaire, nombreuses références citées inexistantes, passages sur des jurisprudences de la CEDH fantaisistes. Pas besoin d'outil de détection, ça ne vaut rien en soi",10,4
2023-06-15,Dr Thomas NΞNNINGΞR,@T_Nenninger,"En lisant certains des messages de ma
TL je me pose une question. Qui d’entre vous sait que l’on peut essayer chatGPT gratuitement, et surtout qui a déjà joué avec au moins une fois, pour savoir comment ça marche?",117,20
2023-06-15,Maximaxime,@MaxiMaxime,On a demandé à chatgpt de me battre au ping pong et il a perdu gros loser chatgpt,28,10
2023-06-09,NYAMSI WA KAMERUN WA AFRIKA,@FranklinNYAMSI,"QUI A SOUTENU QU’IL EXISTE UN RACISME SYSTÉMIQUE EN FRANCE  ? L’intelligence artificielle ( ChatGPT) répond :

« Il y a plusieurs chercheurs français qui ont travaillé sur le racisme systémique, notamment :

- Pap Ndiaye : historien et professeur à Sciences Po, il a écrit de…",11,10
1970-01-01,Legend'Hair,@legendhair_web," -20% sur Absolut Repair Molecular par L'Oréal Professionnel ! 

Une formule brevetée qui répare la structure macromoléculaire du cheveu, le rendant plus fort, plus élastique et plus facile à coiffer  En #Promo ",75,11
2023-06-10,Jill-Jênn Vie,@jjvie,Quand je pense à tous ces étudiant•es qui ne seront plus seul•es à écrire leur thèse maintenant qu'il y a ChatGPT ,75,22
2023-06-24,Lethal BJJ,@lethalbjj,"Faut je demande à chatgpt, Google, Siri, pourquoi Ilia Topuria frappe aussi fort.

La Géorgie, le Caucase. Ptêtre y a un lien. C'est incroyable la puissance dégagée et j'imagine pas en ressenti",4,0
2023-06-01,Dandu.,@DandumontP,"J’en peux plus des gens qui me répondent sur des forums/mails/messageries/etc. avec ChatGPT. Si je voulais un texte long et bien écrit qui raconte de la merde avec aplomb, j’irais voir un consultant.",12,3
2023-06-27,Hasheur,@Power,"Je cherche un plugin GPT qui permet d'ouvrir plusieurs URLs d'un coup et d'en saisir contenu afin qu'il soit exploitable par ChatGPT sans avoir à lui fournir le texte en brut. Mon objectif est de lui fournir des bibliothèques d'articles d'un coup pour en faire . 

Des idées ?",54,8
2023-06-15,Jonluk φ⏚,@eric_s60,"1/2 - Dec. 2018 le gouvernement promulgue une loi relative à la lutte contre la manipulation de l'information ou ""fake news"".
Nov. 2022 lancement de ChatGPT, qui permet entre autres de fabriquer de fausses images et fausses informations. ",81,13
2023-06-23,Belkacem •,@BelkacemB,"Si Galilée avait demandé à un ChatGPT du 17ème siècle si la Terre tournait autour du soleil, ChatGPT lui aurait répondu non (parce qu'il a été entraîné sur le corpus littéraire et scientifique de l'époque)",321,43
2023-06-14,Mabrouk Sonia,@SoMabrouk,"RDV 12H #MidiNews 
@CNEWS
 
- #BacPhilo Qu’aurait répondu ChatGPT?
- #Karine #Disparition Son mari en garde à vue 
- #ZFE Zones anti-bagnole?
- #Schiappa #FondsMarianne Auditions et scandale? 
- « Tueur de DRH »: il est sorti du silence",8,6
2023-06-16,Raphael Grably,@GrablyR,Je promets de m'abonner à Twitter Blue si une fonction permet de désactiver l'affichage des threads ChatGPT.,33,7
2023-06-12,Mad Dog (existe surtout sur Mastodon),@Mad_Chien,"Moi j'attends cet inévitable article du Figaro qui arrivera en avril 2025 : 
""L'Académie française à tranché, il faut dire ""Chat TGP"" et non ""Chat GPT.""",30,6
2023-06-06,Dr. Juliette,@FerryDanini,"Je viens de lire ""Enthoven"",  ""ChatGPT"" et ""bac de philo"" dans le même tweet et donc maintenant je vais aller faire une sieste",89,5
1970-01-01,FibreTigre,@NA,il faudrait que le ministère de l’éducation qui veut rendre obligatoires des stages professionnels à toutes les classes réalise qu’à #VivaTech tout le middle management médiocre du CAC40 français est en train de se branler en braillant que chatgpt va remplacer les stagiaires,52,2
2023-06-16,NestléDesert Sœur Teresa Banks,@ZaimIskander,"""Salut je m'appelle Raphaël Enthoven j'ai pas de vrai diplôme mais j'ai battu chatgpt en étant corrigé par des influenceurs"" 
sombre bac à urine",64,3
2023-06-03,DidierGirard［Ξ］,@DidierGirard,"Deux exemples : Olivia Lipkin, rédactrice à San Francisco, a été licenciée après que ses managers aient commencé à utiliser ChatGPT pour faire son travail. Eric Fein, rédacteur  dans l'Illinois, a également perdu ses missions de rédacteur à cause de ChatGPT.
 
L'essor de GenAI…",265,37
2023-06-02,young jeune compte non fumeur,@youngjeune_off,"Comment utiliser ChatGPT sans se faire repérer par les détecteurs anti-IA ?

Il est bien sûr possible de passer à travers les radars.

Voici comment chier dans la douche de 
@BasicFitFr
 sans se faire cramer ",36,4
2023-06-17,Alain GOUDEY,@AlainGoudey,"Les nouvelles fraîches de la planète #IA sur les dernières 48h : 
 Gannett passe à l'IA
 Starbucks aussi 
 Mercedes intègre #ChatGPT 
 Chegg licencie à cause de l'IA
 Salesforce déploie l'IA dans ses clouds
 Adobe lance Recolor

Ca continue de beaucoup bouger...",7,6
